nama_transaksi,nominal,tanggal,bulan,hari_dalam_seminggu,adalah_weekend,kategori
Bayar air PDAM,496500,2024-09-10,9,1,0,Tagihan
Tiket kereta Bandung,160500,2024-09-28,9,5,1,Transportasi
Beli paracetamol,100000,2024-10-12,10,5,1,Kesehatan
Konsultasi dokter umum,293500,2024-06-19,6,2,0,Kesehatan
Kursus bahasa Inggris,241500,2024-09-01,9,6,1,Pendidikan
Vitamin C Redoxon,60500,2024-04-05,4,4,0,Kesehatan
Beli telur & sayur,8000,2024-02-15,2,3,0,Makanan & Minuman
Beli flashcard,220000,2024-10-17,10,3,0,Pendidikan
Beli kopi Kenangan,83000,2024-08-31,8,5,1,Makanan & Minuman
Beli air mineral galon,101000,2024-06-24,6,0,0,Makanan & Minuman
Bayar air PDAM,400500,2024-11-18,11,0,0,Tagihan
KFC,147500,2024-05-13,5,0,0,Makanan & Minuman
Alfamart kebutuhan rumah,578500,2024-01-25,1,3,0,Belanja
Steam game,475000,2024-05-22,5,2,0,Hiburan
Suplemen olahraga,215000,2024-10-19,10,5,1,Kesehatan
Iuran BPJS,290500,2024-07-24,7,2,0,Kesehatan
Konsultasi dokter umum,201000,2024-02-12,2,0,0,Kesehatan
Tiket busway,180500,2024-01-06,1,5,1,Transportasi
Ojek online kampus,97000,2024-11-29,11,4,0,Transportasi
Parkir mall,35000,2024-09-13,9,4,0,Transportasi
Bakso solo,96000,2024-05-18,5,5,1,Makanan & Minuman
Kursus online Udemy,52000,2024-12-12,12,3,0,Pendidikan
Kursus bahasa Inggris,361500,2024-12-06,12,4,0,Pendidikan
Top up OVO,944000,2024-08-09,8,4,0,Tagihan
Tiket kereta Bandung,62000,2024-04-07,4,6,1,Transportasi
Fotokopi materi kuliah,371500,2024-01-28,1,6,1,Pendidikan
Tol Jakarta Bekasi,81500,2024-10-13,10,6,1,Transportasi
Klinik gigi,277500,2024-11-09,11,5,1,Kesehatan
Beli air mineral galon,96500,2024-01-11,1,3,0,Makanan & Minuman
Bayar listrik PLN,609500,2024-01-09,1,1,0,Tagihan
Nonton bioskop CGV,386500,2024-05-31,5,4,0,Hiburan
Spotify premium,384000,2024-01-07,1,6,1,Hiburan
Beli tas ransel,98500,2024-04-27,4,5,1,Belanja
Beli masker,292500,2024-08-04,8,6,1,Kesehatan
Beli paracetamol,273500,2024-12-25,12,2,0,Kesehatan
Beli masker,188500,2024-01-05,1,4,0,Kesehatan
Beli alat tulis,265000,2024-05-12,5,6,1,Pendidikan
Beli flashcard,256000,2024-10-31,10,3,0,Pendidikan
Bayar air PDAM,74500,2024-02-10,2,5,1,Tagihan
Shopee belanja bulanan,403000,2024-09-03,9,1,0,Belanja
Gojek pulang kerja,179000,2024-03-05,3,1,0,Transportasi
Bayar air PDAM,974500,2024-04-02,4,1,0,Tagihan
Bayar listrik PLN,634500,2024-02-06,2,1,0,Tagihan
Alfamart kebutuhan rumah,568500,2024-08-18,8,6,1,Belanja
Beli tas ransel,66000,2024-03-20,3,2,0,Belanja
Tagihan kartu kredit,642500,2024-08-17,8,5,1,Tagihan
Kursus bahasa Inggris,389000,2024-07-07,7,6,1,Pendidikan
Suplemen olahraga,204000,2024-06-22,6,5,1,Kesehatan
Iuran BPJS,138000,2024-07-02,7,1,0,Kesehatan
Vitamin C Redoxon,193000,2024-02-25,2,6,1,Kesehatan
Suplemen olahraga,145500,2024-01-26,1,4,0,Kesehatan
Fotokopi materi kuliah,278000,2024-10-30,10,2,0,Pendidikan
Sarapan nasi uduk,78500,2024-09-07,9,5,1,Makanan & Minuman
YouTube Premium,158000,2024-04-20,4,5,1,Hiburan
Bensin mobil,162000,2024-12-29,12,6,1,Transportasi
Tiket kereta Bandung,170000,2024-08-30,8,4,0,Transportasi
Shopee belanja bulanan,775000,2024-08-31,8,5,1,Belanja
Beli tas ransel,486000,2024-06-11,6,1,0,Belanja
Cicilan HP,99500,2024-07-09,7,1,0,Tagihan
Beli charger HP,794000,2024-08-24,8,5,1,Belanja
Nonton bioskop CGV,298500,2024-10-11,10,4,0,Hiburan
Steam game,84000,2024-04-17,4,2,0,Hiburan
Sarapan nasi uduk,40500,2024-07-02,7,1,0,Makanan & Minuman
Netflix bulanan,453000,2024-10-10,10,3,0,Hiburan
Bayar listrik PLN,302000,2024-06-08,6,5,1,Tagihan
Bensin motor,115000,2024-06-20,6,3,0,Transportasi
Beli jurnal,301000,2024-12-06,12,4,0,Pendidikan
Beli jurnal,382500,2024-08-12,8,0,0,Pendidikan
Shopee belanja bulanan,675000,2024-06-07,6,4,0,Belanja
Bensin mobil,64000,2024-07-20,7,5,1,Transportasi
Bensin mobil,114500,2024-09-05,9,3,0,Transportasi
Vitamin C Redoxon,256000,2024-11-09,11,5,1,Kesehatan
Beli buku programming,268000,2024-04-15,4,0,0,Pendidikan
Ojek online kampus,41000,2024-12-29,12,6,1,Transportasi
Tiket KRL,9500,2024-08-21,8,2,0,Transportasi
Bayar air PDAM,732500,2024-01-08,1,0,0,Tagihan
Makan siang warteg,82500,2024-04-21,4,6,1,Makanan & Minuman
Beli kopi Kenangan,24000,2024-05-18,5,5,1,Makanan & Minuman
Vitamin C Redoxon,300000,2024-04-30,4,1,0,Kesehatan
Beli paracetamol,63500,2024-03-05,3,1,0,Kesehatan
Bayar kos bulanan,452500,2024-03-29,3,4,0,Tagihan
Tagihan kartu kredit,386000,2024-01-25,1,3,0,Tagihan
Makan malam padang,89500,2024-08-24,8,5,1,Makanan & Minuman
Nonton bioskop CGV,344000,2024-09-02,9,0,0,Hiburan
Top up GoPay,660500,2024-05-30,5,3,0,Tagihan
Steam game,268000,2024-01-01,1,0,0,Hiburan
Beli tas ransel,143500,2024-02-11,2,6,1,Belanja
Deterjen & sabun,630000,2024-04-13,4,5,1,Belanja
Game top up Mobile Legends,193000,2024-01-01,1,0,0,Hiburan
Makan siang warteg,81500,2024-01-27,1,5,1,Makanan & Minuman
Gojek pulang kerja,62000,2024-01-23,1,1,0,Transportasi
Bayar kos bulanan,918500,2024-05-17,5,4,0,Tagihan
Beli pulsa,1000000,2024-04-06,4,5,1,Tagihan
KFC,95500,2024-07-17,7,2,0,Makanan & Minuman
Beli masker,219000,2024-03-31,3,6,1,Kesehatan
Deterjen & sabun,179500,2024-11-07,11,3,0,Belanja
Bayar air PDAM,827000,2024-03-27,3,2,0,Tagihan
Langganan Coursera,164000,2024-05-09,5,3,0,Pendidikan
Kursus bahasa Inggris,391500,2024-04-25,4,3,0,Pendidikan
Spotify premium,250000,2024-03-06,3,2,0,Hiburan
Beli buku programming,108000,2024-01-14,1,6,1,Pendidikan
Tagihan internet Indihome,444000,2024-05-07,5,1,0,Tagihan
Beli pulsa,861500,2024-08-11,8,6,1,Tagihan
Tol Jakarta Bekasi,10500,2024-05-07,5,1,0,Transportasi
Bayar listrik PLN,70000,2024-03-12,3,1,0,Tagihan
Tiket wahana Dufan,150000,2024-12-24,12,1,0,Hiburan
Bayar listrik PLN,478500,2024-12-03,12,1,0,Tagihan
Game top up Mobile Legends,297500,2024-12-26,12,3,0,Hiburan
Karaoke happy hour,65500,2024-10-07,10,0,0,Hiburan
Beli sepatu,312000,2024-09-29,9,6,1,Belanja
Gofood ayam geprek,30500,2024-07-01,7,0,0,Makanan & Minuman
Gojek pulang kerja,133000,2024-12-02,12,0,0,Transportasi
Tagihan internet Indihome,777500,2024-01-07,1,6,1,Tagihan
Kursus bahasa Inggris,259500,2024-06-07,6,4,0,Pendidikan
Tiket KRL,182000,2024-09-20,9,4,0,Transportasi
Bayar listrik PLN,337500,2024-04-17,4,2,0,Tagihan
Suplemen olahraga,78000,2024-05-06,5,0,0,Kesehatan
Gofood ayam geprek,137000,2024-07-07,7,6,1,Makanan & Minuman
Konsultasi dokter umum,63500,2024-09-23,9,0,0,Kesehatan
Jajan pasar,90500,2024-09-21,9,5,1,Makanan & Minuman
Tagihan kartu kredit,528000,2024-01-24,1,2,0,Tagihan
Beli boba,13500,2024-09-15,9,6,1,Makanan & Minuman
Nonton bioskop CGV,82000,2024-04-27,4,5,1,Hiburan
Top up OVO,462500,2024-08-31,8,5,1,Tagihan
Tol Jakarta Bekasi,46000,2024-04-25,4,3,0,Transportasi
Game top up Mobile Legends,406500,2024-08-23,8,4,0,Hiburan
Tol Jakarta Bekasi,104500,2024-04-06,4,5,1,Transportasi
Tagihan kartu kredit,948000,2024-12-18,12,2,0,Tagihan
Beli charger HP,154500,2024-09-06,9,4,0,Belanja
Pizza Hut,46500,2024-05-13,5,0,0,Makanan & Minuman
Beli charger HP,418000,2024-01-27,1,5,1,Belanja
Gofood ayam geprek,61500,2024-10-17,10,3,0,Makanan & Minuman
Shopee belanja bulanan,749500,2024-07-06,7,5,1,Belanja
Tiket KRL,100000,2024-09-06,9,4,0,Transportasi
Beli baju Uniqlo,681500,2024-04-21,4,6,1,Belanja
Ojek online kampus,177500,2024-07-18,7,3,0,Transportasi
Vitamin C Redoxon,80000,2024-10-24,10,3,0,Kesehatan
Bayar listrik PLN,968000,2024-06-05,6,2,0,Tagihan
Tol Jakarta Bekasi,4500,2024-06-01,6,5,1,Transportasi
Klinik gigi,168000,2024-03-25,3,0,0,Kesehatan
Spotify premium,441500,2024-03-09,3,5,1,Hiburan
Top up Free Fire,143500,2024-07-06,7,5,1,Hiburan
Tiket busway,44500,2024-11-02,11,5,1,Transportasi
Steam game,246500,2024-10-03,10,3,0,Hiburan
Game top up Mobile Legends,200000,2024-06-15,6,5,1,Hiburan
Beli kopi Kenangan,87000,2024-08-24,8,5,1,Makanan & Minuman
Bayar listrik PLN,758500,2024-06-16,6,6,1,Tagihan
Top up GoPay,627500,2024-03-10,3,6,1,Tagihan
Kursus bahasa Inggris,489500,2024-08-14,8,2,0,Pendidikan
Beli paracetamol,45000,2024-01-05,1,4,0,Kesehatan
Grab ke kantor,97000,2024-05-06,5,0,0,Transportasi
Kursus online Udemy,450500,2024-02-10,2,5,1,Pendidikan
Fotokopi materi kuliah,414500,2024-07-04,7,3,0,Pendidikan
Tiket kereta Bandung,148500,2024-11-28,11,3,0,Transportasi
Beli masker,65000,2024-11-12,11,1,0,Kesehatan
Beli telur & sayur,21500,2024-06-10,6,0,0,Makanan & Minuman
Beli sepatu,307500,2024-09-09,9,0,0,Belanja
Fotokopi materi kuliah,482500,2024-05-26,5,6,1,Pendidikan
Jajan pasar,52000,2024-10-10,10,3,0,Makanan & Minuman
Beli sepatu,714000,2024-02-02,2,4,0,Belanja
Bayar listrik PLN,269000,2024-09-05,9,3,0,Tagihan
Shopee belanja bulanan,393000,2024-03-13,3,2,0,Belanja
Beli paracetamol,163000,2024-12-21,12,5,1,Kesehatan
Top up GoPay,177500,2024-07-26,7,4,0,Tagihan
Kursus online Udemy,317500,2024-09-05,9,3,0,Pendidikan
Tagihan kartu kredit,795000,2024-04-13,4,5,1,Tagihan
Spotify premium,169000,2024-11-05,11,1,0,Hiburan
Pizza Hut,80500,2024-12-30,12,0,0,Makanan & Minuman
Kursus online Udemy,228500,2024-07-28,7,6,1,Pendidikan
YouTube Premium,491000,2024-02-19,2,0,0,Hiburan
Konsultasi dokter umum,43500,2024-04-13,4,5,1,Kesehatan
Indomaret snack,22500,2024-04-30,4,1,0,Makanan & Minuman
Shopee belanja bulanan,163500,2024-10-06,10,6,1,Belanja
Bakso solo,119000,2024-01-03,1,2,0,Makanan & Minuman
Beli flashcard,52500,2024-07-18,7,3,0,Pendidikan
Cicilan HP,583500,2024-07-13,7,5,1,Tagihan
Beli obat apotek,286500,2024-01-28,1,6,1,Kesehatan
Karaoke happy hour,246500,2024-01-21,1,6,1,Hiburan
Tiket kereta Bandung,67500,2024-05-25,5,5,1,Transportasi
Alfamart kebutuhan rumah,104000,2024-02-09,2,4,0,Belanja
Beli flashcard,352000,2024-09-19,9,3,0,Pendidikan
Beli masker,74500,2024-03-15,3,4,0,Kesehatan
Ojek online kampus,114000,2024-10-24,10,3,0,Transportasi
Gojek pulang kerja,19000,2024-10-10,10,3,0,Transportasi
Gojek pulang kerja,167000,2024-07-05,7,4,0,Transportasi
Kursus online Udemy,375000,2024-10-01,10,1,0,Pendidikan
Top up Free Fire,275500,2024-10-05,10,5,1,Hiburan
Suplemen olahraga,48500,2024-10-08,10,1,0,Kesehatan
Karaoke happy hour,420000,2024-05-17,5,4,0,Hiburan
Bakso solo,114500,2024-05-01,5,2,0,Makanan & Minuman
Beli telur & sayur,106500,2024-12-10,12,1,0,Makanan & Minuman
Bayar listrik PLN,598000,2024-06-15,6,5,1,Tagihan
Cicilan HP,867000,2024-12-23,12,0,0,Tagihan
Skincare Wardah,351500,2024-07-09,7,1,0,Belanja
Beli buku programming,85000,2024-08-03,8,5,1,Pendidikan
Top up OVO,703500,2024-12-30,12,0,0,Tagihan
Beli tas ransel,265500,2024-11-16,11,5,1,Belanja
Langganan Coursera,410500,2024-05-15,5,2,0,Pendidikan
Top up Free Fire,294000,2024-03-29,3,4,0,Hiburan
Beli flashcard,282000,2024-01-07,1,6,1,Pendidikan
Pizza Hut,54500,2024-10-01,10,1,0,Makanan & Minuman
Iuran BPJS,237000,2024-02-09,2,4,0,Kesehatan
Beli buku programming,329500,2024-01-21,1,6,1,Pendidikan
Beli buku programming,433000,2024-03-06,3,2,0,Pendidikan
Iuran BPJS,290000,2024-07-11,7,3,0,Kesehatan
Beli obat apotek,20000,2024-10-07,10,0,0,Kesehatan
Beli masker,273500,2024-08-08,8,3,0,Kesehatan
Bakso solo,31500,2024-12-21,12,5,1,Makanan & Minuman
Fotokopi materi kuliah,469500,2024-03-28,3,3,0,Pendidikan
Langganan Coursera,34000,2024-02-13,2,1,0,Pendidikan
Konsultasi dokter umum,268000,2024-09-10,9,1,0,Kesehatan
Beli buku programming,148000,2024-04-08,4,0,0,Pendidikan
Gofood ayam geprek,124000,2024-01-22,1,0,0,Makanan & Minuman
Tol Jakarta Bekasi,185000,2024-07-08,7,0,0,Transportasi
McDonald,73500,2024-11-19,11,1,0,Makanan & Minuman
Beli jurnal,12000,2024-12-12,12,3,0,Pendidikan
Jajan pasar,11000,2024-09-09,9,0,0,Makanan & Minuman
Spotify premium,348000,2024-03-14,3,3,0,Hiburan
Suplemen olahraga,241500,2024-05-11,5,5,1,Kesehatan
Beli kopi Kenangan,146000,2024-08-17,8,5,1,Makanan & Minuman
Tol Jakarta Bekasi,193500,2024-04-10,4,2,0,Transportasi
Bayar listrik PLN,141000,2024-10-06,10,6,1,Tagihan
Top up Free Fire,251500,2024-02-07,2,2,0,Hiburan
Tiket konser,23000,2024-04-20,4,5,1,Hiburan
KFC,99000,2024-06-24,6,0,0,Makanan & Minuman
Bayar kos bulanan,151500,2024-01-31,1,2,0,Tagihan
Tiket kereta Bandung,149500,2024-11-13,11,2,0,Transportasi
Vitamin C Redoxon,127000,2024-12-03,12,1,0,Kesehatan
Nonton bioskop CGV,136000,2024-06-08,6,5,1,Hiburan
Kursus bahasa Inggris,473000,2024-11-05,11,1,0,Pendidikan
Suplemen olahraga,243500,2024-04-11,4,3,0,Kesehatan
Beli sepatu,761500,2024-07-20,7,5,1,Belanja
Beli charger HP,67500,2024-01-18,1,3,0,Belanja
Suplemen olahraga,113500,2024-10-29,10,1,0,Kesehatan
McDonald,82000,2024-10-13,10,6,1,Makanan & Minuman
Alfamart kebutuhan rumah,527000,2024-09-19,9,3,0,Belanja
Tiket busway,52000,2024-08-28,8,2,0,Transportasi
Kursus bahasa Inggris,273500,2024-02-13,2,1,0,Pendidikan
Shopee belanja bulanan,344500,2024-04-08,4,0,0,Belanja
Tagihan internet Indihome,275000,2024-04-27,4,5,1,Tagihan
Tagihan kartu kredit,524000,2024-06-24,6,0,0,Tagihan
Konsultasi dokter umum,182000,2024-11-01,11,4,0,Kesehatan
Gojek pulang kerja,98000,2024-02-09,2,4,0,Transportasi
Spotify premium,231000,2024-10-18,10,4,0,Hiburan
Tol Jakarta Bekasi,89500,2024-12-23,12,0,0,Transportasi
Fotokopi materi kuliah,457000,2024-12-17,12,1,0,Pendidikan
Iuran BPJS,241000,2024-08-05,8,0,0,Kesehatan
Parkir mall,58000,2024-10-21,10,0,0,Transportasi
Es teh manis,41000,2024-06-08,6,5,1,Makanan & Minuman
KFC,26000,2024-06-09,6,6,1,Makanan & Minuman
Beli pulsa,322000,2024-09-16,9,0,0,Tagihan
Bayar air PDAM,21000,2024-06-23,6,6,1,Tagihan
Alfamart kebutuhan rumah,448500,2024-08-25,8,6,1,Belanja
Bayar air PDAM,456000,2024-11-01,11,4,0,Tagihan
Nonton bioskop CGV,317500,2024-11-02,11,5,1,Hiburan
Shopee belanja bulanan,715500,2024-05-15,5,2,0,Belanja
Tiket busway,98500,2024-02-02,2,4,0,Transportasi
Karaoke happy hour,393500,2024-05-30,5,3,0,Hiburan
Beli air mineral galon,89500,2024-08-28,8,2,0,Makanan & Minuman
Top up Free Fire,48500,2024-11-16,11,5,1,Hiburan
Tagihan kartu kredit,972500,2024-01-20,1,5,1,Tagihan
Skincare Wardah,257500,2024-11-12,11,1,0,Belanja
Beli jurnal,131000,2024-04-07,4,6,1,Pendidikan
Fotokopi materi kuliah,173500,2024-12-29,12,6,1,Pendidikan
Netflix bulanan,177000,2024-03-18,3,0,0,Hiburan
Beli air mineral galon,103000,2024-11-17,11,6,1,Makanan & Minuman
Gojek pulang kerja,25500,2024-08-19,8,0,0,Transportasi
Tol Jakarta Bekasi,129500,2024-12-14,12,5,1,Transportasi
Sarapan nasi uduk,103500,2024-12-16,12,0,0,Makanan & Minuman
Suplemen olahraga,55000,2024-01-29,1,0,0,Kesehatan
Spotify premium,221000,2024-12-21,12,5,1,Hiburan
Shopee belanja bulanan,327000,2024-06-27,6,3,0,Belanja
Langganan Coursera,463000,2024-02-07,2,2,0,Pendidikan
Steam game,153500,2024-05-13,5,0,0,Hiburan
Tagihan internet Indihome,72500,2024-06-01,6,5,1,Tagihan
Beli hand sanitizer,148000,2024-12-27,12,4,0,Kesehatan
Bensin mobil,102500,2024-05-01,5,2,0,Transportasi
Tiket kereta Bandung,47500,2024-01-07,1,6,1,Transportasi
Beli sepatu,689500,2024-08-09,8,4,0,Belanja
Makan siang warteg,123500,2024-09-22,9,6,1,Makanan & Minuman
Makan malam padang,10000,2024-09-16,9,0,0,Makanan & Minuman
Spotify premium,273500,2024-11-25,11,0,0,Hiburan
Top up GoPay,31500,2024-10-06,10,6,1,Tagihan
Beli kopi Kenangan,117000,2024-02-26,2,0,0,Makanan & Minuman
Makan malam padang,103500,2024-03-31,3,6,1,Makanan & Minuman
Tokopedia elektronik,704000,2024-12-16,12,0,0,Belanja
Tiket konser,140000,2024-01-08,1,0,0,Hiburan
Jajan pasar,72000,2024-07-10,7,2,0,Makanan & Minuman
Bayar air PDAM,273000,2024-10-29,10,1,0,Tagihan
Grab ke kantor,139000,2024-11-09,11,5,1,Transportasi
Beli hand sanitizer,229500,2024-06-16,6,6,1,Kesehatan
Beli alat tulis,228000,2024-02-20,2,1,0,Pendidikan
Bensin motor,134000,2024-02-04,2,6,1,Transportasi
Tagihan kartu kredit,160000,2024-08-04,8,6,1,Tagihan
Cicilan HP,135000,2024-11-07,11,3,0,Tagihan
Beli masker,13000,2024-01-12,1,4,0,Kesehatan
Beli baju Uniqlo,199500,2024-06-13,6,3,0,Belanja
Vitamin C Redoxon,10500,2024-05-11,5,5,1,Kesehatan
Beli air mineral galon,75500,2024-09-07,9,5,1,Makanan & Minuman
Fotokopi materi kuliah,25000,2024-03-07,3,3,0,Pendidikan
Bayar air PDAM,583000,2024-03-28,3,3,0,Tagihan
Beli charger HP,309500,2024-06-17,6,0,0,Belanja
Skincare Wardah,733000,2024-02-14,2,2,0,Belanja
YouTube Premium,274500,2024-09-25,9,2,0,Hiburan
Tiket busway,127000,2024-07-01,7,0,0,Transportasi
Bayar listrik PLN,897500,2024-01-23,1,1,0,Tagihan
Beli air mineral galon,92500,2024-08-14,8,2,0,Makanan & Minuman
Beli flashcard,250000,2024-12-15,12,6,1,Pendidikan
Beli baju Uniqlo,733000,2024-10-04,10,4,0,Belanja
Cicilan HP,449500,2024-06-25,6,1,0,Tagihan
Tiket busway,10500,2024-03-21,3,3,0,Transportasi
Beli flashcard,93500,2024-02-19,2,0,0,Pendidikan
Konsultasi dokter umum,44000,2024-01-16,1,1,0,Kesehatan
Deterjen & sabun,215500,2024-10-21,10,0,0,Belanja
Bensin mobil,145000,2024-02-11,2,6,1,Transportasi
Bensin mobil,100000,2024-08-17,8,5,1,Transportasi
Klinik gigi,66500,2024-03-26,3,1,0,Kesehatan
Cicilan HP,700500,2024-10-09,10,2,0,Tagihan
Netflix bulanan,228500,2024-04-02,4,1,0,Hiburan
Beli obat apotek,177000,2024-06-14,6,4,0,Kesehatan
Beli obat apotek,254000,2024-10-19,10,5,1,Kesehatan
Top up OVO,818500,2024-02-21,2,2,0,Tagihan
Game top up Mobile Legends,369500,2024-02-20,2,1,0,Hiburan
Suplemen olahraga,71500,2024-05-23,5,3,0,Kesehatan
Beli tas ransel,319500,2024-05-21,5,1,0,Belanja
Kursus bahasa Inggris,156000,2024-10-07,10,0,0,Pendidikan
Top up GoPay,244000,2024-09-27,9,4,0,Tagihan
