nama_transaksi,nominal,tanggal,bulan,hari_dalam_seminggu,adalah_weekend,kategori
Nonton bioskop CGV,463500,2024-04-29,4,0,0,Hiburan
Bayar air PDAM,154000,2024-11-25,11,0,0,Tagihan
Jajan pasar,68500,2024-03-22,3,4,0,Makanan & Minuman
Vitamin C Redoxon,224500,2024-11-16,11,5,1,Kesehatan
Klinik gigi,278500,2024-07-10,7,2,0,Kesehatan
Top up OVO,933000,2024-12-12,12,3,0,Tagihan
Beli tas ransel,324000,2024-08-28,8,2,0,Belanja
Game top up Mobile Legends,163500,2024-01-28,1,6,1,Hiburan
Beli obat apotek,281500,2024-06-06,6,3,0,Kesehatan
Netflix bulanan,489000,2024-08-19,8,0,0,Hiburan
Beli masker,14000,2024-07-20,7,5,1,Kesehatan
Grab food mie ayam,79000,2024-06-19,6,2,0,Makanan & Minuman
Bayar air PDAM,174500,2024-04-04,4,3,0,Tagihan
Beli sepatu,448500,2024-04-20,4,5,1,Belanja
Klinik gigi,183500,2024-09-01,9,6,1,Kesehatan
Top up Free Fire,147000,2024-05-12,5,6,1,Hiburan
Beli buku programming,157000,2024-04-19,4,4,0,Pendidikan
Beli baju Uniqlo,557000,2024-07-27,7,5,1,Belanja
Vitamin C Redoxon,114500,2024-06-06,6,3,0,Kesehatan
Game top up Mobile Legends,498500,2024-08-13,8,1,0,Hiburan
Konsultasi dokter umum,177000,2024-11-11,11,0,0,Kesehatan
Top up GoPay,273500,2024-08-09,8,4,0,Tagihan
Langganan Coursera,158000,2024-05-13,5,0,0,Pendidikan
Vitamin C Redoxon,82000,2024-12-30,12,0,0,Kesehatan
Bayar listrik PLN,906500,2024-11-20,11,2,0,Tagihan
Jajan pasar,122000,2024-01-29,1,0,0,Makanan & Minuman
Gojek pulang kerja,26000,2024-02-29,2,3,0,Transportasi
Gofood ayam geprek,40000,2024-04-24,4,2,0,Makanan & Minuman
Top up OVO,681500,2024-08-21,8,2,0,Tagihan
Netflix bulanan,64000,2024-12-07,12,5,1,Hiburan
Tagihan kartu kredit,108500,2024-05-24,5,4,0,Tagihan
Tagihan kartu kredit,199000,2024-01-26,1,4,0,Tagihan
Pizza Hut,81000,2024-05-15,5,2,0,Makanan & Minuman
Gojek pulang kerja,83000,2024-06-23,6,6,1,Transportasi
Gojek pulang kerja,163500,2024-05-23,5,3,0,Transportasi
Shopee belanja bulanan,456500,2024-10-15,10,1,0,Belanja
Beli baju Uniqlo,165500,2024-12-24,12,1,0,Belanja
Beli boba,130500,2024-03-25,3,0,0,Makanan & Minuman
Grab ke kantor,45000,2024-06-19,6,2,0,Transportasi
Bayar kos bulanan,243500,2024-01-03,1,2,0,Tagihan
Skincare Wardah,141000,2024-11-28,11,3,0,Belanja
Bensin mobil,52000,2024-05-08,5,2,0,Transportasi
Beli flashcard,110000,2024-03-22,3,4,0,Pendidikan
Suplemen olahraga,231000,2024-07-20,7,5,1,Kesehatan
Tiket wahana Dufan,351000,2024-11-25,11,0,0,Hiburan
YouTube Premium,296500,2024-12-15,12,6,1,Hiburan
Langganan Coursera,251000,2024-01-02,1,1,0,Pendidikan
Kursus bahasa Inggris,355500,2024-04-28,4,6,1,Pendidikan
Nonton bioskop CGV,364000,2024-02-03,2,5,1,Hiburan
Tiket kereta Bandung,171500,2024-04-27,4,5,1,Transportasi
Beli jurnal,423500,2024-01-05,1,4,0,Pendidikan
Top up OVO,126000,2024-03-01,3,4,0,Tagihan
Makan malam padang,88500,2024-10-27,10,6,1,Makanan & Minuman
Tiket KRL,182000,2024-01-13,1,5,1,Transportasi
Deterjen & sabun,266500,2024-08-20,8,1,0,Belanja
Bayar kos bulanan,366500,2024-03-06,3,2,0,Tagihan
Grab food mie ayam,142000,2024-08-15,8,3,0,Makanan & Minuman
Gofood ayam geprek,116000,2024-02-16,2,4,0,Makanan & Minuman
Tiket busway,77000,2024-10-08,10,1,0,Transportasi
Beli buku programming,84500,2024-12-04,12,2,0,Pendidikan
Netflix bulanan,298500,2024-06-21,6,4,0,Hiburan
Tiket busway,54500,2024-10-24,10,3,0,Transportasi
Gojek pulang kerja,109000,2024-04-16,4,1,0,Transportasi
Kursus online Udemy,406000,2024-04-07,4,6,1,Pendidikan
Iuran BPJS,80500,2024-06-21,6,4,0,Kesehatan
Tagihan kartu kredit,165000,2024-04-04,4,3,0,Tagihan
Beli masker,168000,2024-04-08,4,0,0,Kesehatan
Tokopedia elektronik,104500,2024-06-02,6,6,1,Belanja
Top up GoPay,926000,2024-11-18,11,0,0,Tagihan
Cicilan HP,39500,2024-11-13,11,2,0,Tagihan
Alfamart kebutuhan rumah,21500,2024-02-17,2,5,1,Belanja
KFC,92500,2024-10-30,10,2,0,Makanan & Minuman
Bayar listrik PLN,421500,2024-11-21,11,3,0,Tagihan
Beli masker,93000,2024-06-07,6,4,0,Kesehatan
Beli telur & sayur,136000,2024-03-19,3,1,0,Makanan & Minuman
Langganan Coursera,379000,2024-04-30,4,1,0,Pendidikan
Grab ke kantor,156000,2024-08-08,8,3,0,Transportasi
Beli pulsa,307500,2024-07-06,7,5,1,Tagihan
KFC,41000,2024-02-11,2,6,1,Makanan & Minuman
Top up GoPay,439500,2024-07-09,7,1,0,Tagihan
Bayar listrik PLN,818000,2024-11-01,11,4,0,Tagihan
Vitamin C Redoxon,199500,2024-07-17,7,2,0,Kesehatan
Makan malam padang,138000,2024-02-10,2,5,1,Makanan & Minuman
Beli charger HP,332000,2024-12-12,12,3,0,Belanja
Spotify premium,138000,2024-11-23,11,5,1,Hiburan
Bayar listrik PLN,183500,2024-02-02,2,4,0,Tagihan
Beli paracetamol,130500,2024-08-08,8,3,0,Kesehatan
Jajan pasar,69000,2024-03-05,3,1,0,Makanan & Minuman
Beli air mineral galon,82500,2024-12-22,12,6,1,Makanan & Minuman
Es teh manis,62000,2024-01-11,1,3,0,Makanan & Minuman
Game top up Mobile Legends,385000,2024-08-19,8,0,0,Hiburan
Ojek online kampus,94500,2024-05-15,5,2,0,Transportasi
Alfamart kebutuhan rumah,728000,2024-08-20,8,1,0,Belanja
Bensin mobil,100000,2024-06-13,6,3,0,Transportasi
Grab ke kantor,149000,2024-01-16,1,1,0,Transportasi
Beli obat apotek,91000,2024-12-23,12,0,0,Kesehatan
Beli hand sanitizer,98000,2024-10-16,10,2,0,Kesehatan
Beli boba,55500,2024-02-16,2,4,0,Makanan & Minuman
Beli masker,188500,2024-10-20,10,6,1,Kesehatan
Bensin mobil,48000,2024-04-22,4,0,0,Transportasi
Iuran BPJS,165000,2024-08-10,8,5,1,Kesehatan
Game top up Mobile Legends,163500,2024-10-23,10,2,0,Hiburan
Tiket KRL,113500,2024-06-27,6,3,0,Transportasi
YouTube Premium,22000,2024-08-16,8,4,0,Hiburan
Vitamin C Redoxon,211500,2024-12-01,12,6,1,Kesehatan
Tiket konser,217500,2024-11-11,11,0,0,Hiburan
Beli charger HP,665000,2024-02-09,2,4,0,Belanja
Langganan Coursera,101000,2024-07-26,7,4,0,Pendidikan
Top up GoPay,572000,2024-11-28,11,3,0,Tagihan
Tokopedia elektronik,351500,2024-10-19,10,5,1,Belanja
Klinik gigi,266000,2024-11-30,11,5,1,Kesehatan
McDonald,119500,2024-11-13,11,2,0,Makanan & Minuman
Kursus online Udemy,244500,2024-08-23,8,4,0,Pendidikan
Netflix bulanan,195000,2024-01-04,1,3,0,Hiburan
Shopee belanja bulanan,520000,2024-07-18,7,3,0,Belanja
Tagihan internet Indihome,164000,2024-07-24,7,2,0,Tagihan
Klinik gigi,278500,2024-12-11,12,2,0,Kesehatan
Tiket kereta Bandung,51000,2024-06-17,6,0,0,Transportasi
Beli alat tulis,182500,2024-03-20,3,2,0,Pendidikan
Langganan Coursera,80000,2024-07-25,7,3,0,Pendidikan
Top up Free Fire,399500,2024-12-27,12,4,0,Hiburan
Kursus bahasa Inggris,115500,2024-04-23,4,1,0,Pendidikan
Spotify premium,327500,2024-11-23,11,5,1,Hiburan
Iuran BPJS,71500,2024-02-20,2,1,0,Kesehatan
Tagihan kartu kredit,426500,2024-01-19,1,4,0,Tagihan
Tiket kereta Bandung,86000,2024-09-24,9,1,0,Transportasi
Game top up Mobile Legends,31000,2024-03-06,3,2,0,Hiburan
Parkir mall,128000,2024-06-22,6,5,1,Transportasi
Sarapan nasi uduk,142000,2024-04-10,4,2,0,Makanan & Minuman
Fotokopi materi kuliah,16000,2024-10-07,10,0,0,Pendidikan
Bayar listrik PLN,303000,2024-11-03,11,6,1,Tagihan
Beli alat tulis,153000,2024-08-10,8,5,1,Pendidikan
Fotokopi materi kuliah,126500,2024-11-28,11,3,0,Pendidikan
Gojek pulang kerja,14500,2024-05-24,5,4,0,Transportasi
Tiket konser,24500,2024-06-17,6,0,0,Hiburan
Deterjen & sabun,162500,2024-09-25,9,2,0,Belanja
Vitamin C Redoxon,159000,2024-07-06,7,5,1,Kesehatan
Cicilan HP,836500,2024-01-09,1,1,0,Tagihan
Deterjen & sabun,599500,2024-12-25,12,2,0,Belanja
Beli masker,228000,2024-09-19,9,3,0,Kesehatan
Kursus bahasa Inggris,314000,2024-02-22,2,3,0,Pendidikan
Nonton bioskop CGV,42500,2024-03-07,3,3,0,Hiburan
Es teh manis,77500,2024-04-01,4,0,0,Makanan & Minuman
Fotokopi materi kuliah,233000,2024-12-18,12,2,0,Pendidikan
Beli masker,72500,2024-03-19,3,1,0,Kesehatan
Netflix bulanan,58000,2024-05-24,5,4,0,Hiburan
Nonton bioskop CGV,466000,2024-03-20,3,2,0,Hiburan
Kursus bahasa Inggris,335000,2024-04-22,4,0,0,Pendidikan
Kursus bahasa Inggris,284000,2024-02-02,2,4,0,Pendidikan
Beli obat apotek,253500,2024-08-07,8,2,0,Kesehatan
Beli tas ransel,29000,2024-09-12,9,3,0,Belanja
Steam game,73500,2024-11-23,11,5,1,Hiburan
Grab ke kantor,124000,2024-01-17,1,2,0,Transportasi
Game top up Mobile Legends,181000,2024-12-16,12,0,0,Hiburan
Beli masker,163500,2024-03-04,3,0,0,Kesehatan
Beli baju Uniqlo,600500,2024-11-14,11,3,0,Belanja
Tiket busway,10500,2024-05-14,5,1,0,Transportasi
Gojek pulang kerja,186000,2024-01-20,1,5,1,Transportasi
Langganan Coursera,283000,2024-06-11,6,1,0,Pendidikan
Bayar air PDAM,949000,2024-04-18,4,3,0,Tagihan
Makan siang warteg,93500,2024-10-10,10,3,0,Makanan & Minuman
KFC,34500,2024-02-23,2,4,0,Makanan & Minuman
Iuran BPJS,12500,2024-03-04,3,0,0,Kesehatan
Iuran BPJS,60000,2024-11-09,11,5,1,Kesehatan
Fotokopi materi kuliah,166000,2024-11-03,11,6,1,Pendidikan
Grab ke kantor,20000,2024-07-28,7,6,1,Transportasi
Suplemen olahraga,290500,2024-10-27,10,6,1,Kesehatan
Beli pulsa,717000,2024-12-09,12,0,0,Tagihan
Beli baju Uniqlo,527500,2024-02-03,2,5,1,Belanja
YouTube Premium,461000,2024-03-04,3,0,0,Hiburan
Ojek online kampus,191500,2024-12-22,12,6,1,Transportasi
Beli tas ransel,445500,2024-02-11,2,6,1,Belanja
Beli jurnal,17000,2024-01-02,1,1,0,Pendidikan
Beli sepatu,420500,2024-03-31,3,6,1,Belanja
Suplemen olahraga,20000,2024-03-16,3,5,1,Kesehatan
Beli tas ransel,780000,2024-09-06,9,4,0,Belanja
Tagihan internet Indihome,455500,2024-08-09,8,4,0,Tagihan
Beli charger HP,659000,2024-05-11,5,5,1,Belanja
McDonald,92000,2024-10-19,10,5,1,Makanan & Minuman
Top up OVO,928000,2024-11-10,11,6,1,Tagihan
Parkir mall,192500,2024-11-07,11,3,0,Transportasi
McDonald,57500,2024-11-04,11,0,0,Makanan & Minuman
Tiket busway,20500,2024-09-30,9,0,0,Transportasi
Kursus online Udemy,207000,2024-12-13,12,4,0,Pendidikan
Makan malam padang,96000,2024-04-17,4,2,0,Makanan & Minuman
Konsultasi dokter umum,206000,2024-12-26,12,3,0,Kesehatan
Beli alat tulis,75500,2024-05-18,5,5,1,Pendidikan
Alfamart kebutuhan rumah,263500,2024-03-31,3,6,1,Belanja
Tiket wahana Dufan,368500,2024-02-11,2,6,1,Hiburan
Skincare Wardah,102500,2024-02-01,2,3,0,Belanja
Gojek pulang kerja,61000,2024-04-13,4,5,1,Transportasi
Tiket busway,140000,2024-05-04,5,5,1,Transportasi
Beli buku programming,371500,2024-07-09,7,1,0,Pendidikan
Tiket kereta Bandung,111000,2024-06-01,6,5,1,Transportasi
Tiket KRL,141500,2024-07-24,7,2,0,Transportasi
Beli baju Uniqlo,505500,2024-08-02,8,4,0,Belanja
Tagihan kartu kredit,468500,2024-12-30,12,0,0,Tagihan
Game top up Mobile Legends,459000,2024-04-06,4,5,1,Hiburan
Sarapan nasi uduk,29000,2024-05-21,5,1,0,Makanan & Minuman
Bayar air PDAM,343000,2024-12-22,12,6,1,Tagihan
Top up OVO,934000,2024-01-31,1,2,0,Tagihan
Pizza Hut,37000,2024-02-16,2,4,0,Makanan & Minuman
Beli buku programming,417000,2024-11-15,11,4,0,Pendidikan
Bayar air PDAM,953000,2024-07-13,7,5,1,Tagihan
Steam game,468500,2024-02-08,2,3,0,Hiburan
Tiket kereta Bandung,75000,2024-10-15,10,1,0,Transportasi
Tiket KRL,199000,2024-04-27,4,5,1,Transportasi
Makan malam padang,21500,2024-06-24,6,0,0,Makanan & Minuman
Steam game,71500,2024-06-13,6,3,0,Hiburan
Bensin mobil,193000,2024-05-20,5,0,0,Transportasi
Bakso solo,112500,2024-04-26,4,4,0,Makanan & Minuman
Beli tas ransel,728500,2024-09-16,9,0,0,Belanja
Game top up Mobile Legends,387000,2024-04-18,4,3,0,Hiburan
Tagihan kartu kredit,180500,2024-11-08,11,4,0,Tagihan
Langganan Coursera,26000,2024-01-31,1,2,0,Pendidikan
Beli jurnal,283000,2024-12-16,12,0,0,Pendidikan
Beli kopi Kenangan,116000,2024-11-05,11,1,0,Makanan & Minuman
Vitamin C Redoxon,119500,2024-02-10,2,5,1,Kesehatan
Top up OVO,89500,2024-11-04,11,0,0,Tagihan
Iuran BPJS,54000,2024-07-17,7,2,0,Kesehatan
Konsultasi dokter umum,23500,2024-04-04,4,3,0,Kesehatan
Beli pulsa,963000,2024-02-24,2,5,1,Tagihan
Beli air mineral galon,84000,2024-08-11,8,6,1,Makanan & Minuman
Klinik gigi,101500,2024-08-22,8,3,0,Kesehatan
Beli tas ransel,415000,2024-09-08,9,6,1,Belanja
Karaoke happy hour,182000,2024-07-01,7,0,0,Hiburan
Beli buku programming,362500,2024-01-19,1,4,0,Pendidikan
YouTube Premium,390500,2024-07-19,7,4,0,Hiburan
Beli buku programming,95500,2024-12-03,12,1,0,Pendidikan
Beli flashcard,302500,2024-12-07,12,5,1,Pendidikan
Tiket konser,382000,2024-12-08,12,6,1,Hiburan
Fotokopi materi kuliah,91000,2024-03-27,3,2,0,Pendidikan
Beli charger HP,437000,2024-12-07,12,5,1,Belanja
Bayar listrik PLN,589500,2024-06-08,6,5,1,Tagihan
Tagihan kartu kredit,570000,2024-02-24,2,5,1,Tagihan
Nonton bioskop CGV,150500,2024-02-23,2,4,0,Hiburan
Beli hand sanitizer,40000,2024-10-28,10,0,0,Kesehatan
Alfamart kebutuhan rumah,148000,2024-02-18,2,6,1,Belanja
Top up Free Fire,289000,2024-08-02,8,4,0,Hiburan
Alfamart kebutuhan rumah,270000,2024-03-12,3,1,0,Belanja
Beli sepatu,293500,2024-01-06,1,5,1,Belanja
Beli tas ransel,242000,2024-01-01,1,0,0,Belanja
Beli paracetamol,217500,2024-02-01,2,3,0,Kesehatan
Suplemen olahraga,36500,2024-03-23,3,5,1,Kesehatan
Bayar air PDAM,259000,2024-12-22,12,6,1,Tagihan
Vitamin C Redoxon,40500,2024-10-02,10,2,0,Kesehatan
Beli pulsa,575500,2024-12-18,12,2,0,Tagihan
Bensin mobil,91000,2024-07-25,7,3,0,Transportasi
Beli sepatu,618000,2024-06-22,6,5,1,Belanja
Suplemen olahraga,190500,2024-11-08,11,4,0,Kesehatan
Deterjen & sabun,308000,2024-08-10,8,5,1,Belanja
Beli jurnal,242000,2024-11-09,11,5,1,Pendidikan
Beli masker,162500,2024-01-22,1,0,0,Kesehatan
Tokopedia elektronik,528500,2024-05-06,5,0,0,Belanja
Beli pulsa,855000,2024-01-11,1,3,0,Tagihan
McDonald,149000,2024-11-06,11,2,0,Makanan & Minuman
Top up Free Fire,189500,2024-05-24,5,4,0,Hiburan
Ojek online kampus,44000,2024-10-19,10,5,1,Transportasi
Bensin mobil,139500,2024-12-22,12,6,1,Transportasi
Langganan Coursera,209500,2024-03-15,3,4,0,Pendidikan
Nonton bioskop CGV,418000,2024-02-12,2,0,0,Hiburan
Tiket KRL,133500,2024-01-29,1,0,0,Transportasi
Beli tas ransel,256000,2024-06-24,6,0,0,Belanja
Beli tas ransel,468000,2024-11-14,11,3,0,Belanja
KFC,99000,2024-09-25,9,2,0,Makanan & Minuman
Shopee belanja bulanan,794500,2024-06-26,6,2,0,Belanja
Fotokopi materi kuliah,120000,2024-08-15,8,3,0,Pendidikan
Ojek online kampus,120000,2024-01-31,1,2,0,Transportasi
Grab ke kantor,135000,2024-02-22,2,3,0,Transportasi
Tol Jakarta Bekasi,173500,2024-10-13,10,6,1,Transportasi
Langganan Coursera,306500,2024-10-26,10,5,1,Pendidikan
Karaoke happy hour,463000,2024-03-12,3,1,0,Hiburan
Sarapan nasi uduk,86000,2024-05-06,5,0,0,Makanan & Minuman
Kursus online Udemy,189500,2024-11-23,11,5,1,Pendidikan
Tiket konser,310000,2024-08-29,8,3,0,Hiburan
YouTube Premium,68000,2024-12-16,12,0,0,Hiburan
Suplemen olahraga,59000,2024-06-05,6,2,0,Kesehatan
Jajan pasar,55500,2024-11-26,11,1,0,Makanan & Minuman
Top up Free Fire,409000,2024-02-23,2,4,0,Hiburan
Tiket konser,42500,2024-01-20,1,5,1,Hiburan
Pizza Hut,31000,2024-01-11,1,3,0,Makanan & Minuman
Alfamart kebutuhan rumah,281500,2024-02-07,2,2,0,Belanja
Skincare Wardah,647000,2024-08-12,8,0,0,Belanja
Beli jurnal,476000,2024-04-18,4,3,0,Pendidikan
Vitamin C Redoxon,113000,2024-09-11,9,2,0,Kesehatan
Cicilan HP,112000,2024-07-28,7,6,1,Tagihan
Kursus bahasa Inggris,64000,2024-09-03,9,1,0,Pendidikan
Shopee belanja bulanan,261500,2024-02-01,2,3,0,Belanja
Steam game,315000,2024-06-05,6,2,0,Hiburan
Beli charger HP,622000,2024-02-03,2,5,1,Belanja
Vitamin C Redoxon,146000,2024-02-02,2,4,0,Kesehatan
Beli flashcard,96000,2024-10-10,10,3,0,Pendidikan
Bayar listrik PLN,38500,2024-12-31,12,1,0,Tagihan
Shopee belanja bulanan,515500,2024-06-27,6,3,0,Belanja
Tiket konser,178000,2024-03-11,3,0,0,Hiburan
Tiket wahana Dufan,86000,2024-03-23,3,5,1,Hiburan
Bayar listrik PLN,963000,2024-10-22,10,1,0,Tagihan
Bayar air PDAM,263500,2024-06-06,6,3,0,Tagihan
Suplemen olahraga,183500,2024-03-26,3,1,0,Kesehatan
Beli baju Uniqlo,140500,2024-11-02,11,5,1,Belanja
Bayar air PDAM,564000,2024-05-22,5,2,0,Tagihan
Ojek online kampus,88500,2024-06-28,6,4,0,Transportasi
Ojek online kampus,135000,2024-04-30,4,1,0,Transportasi
Kursus online Udemy,120500,2024-12-27,12,4,0,Pendidikan
Bayar listrik PLN,284500,2024-05-20,5,0,0,Tagihan
Beli tas ransel,763500,2024-05-05,5,6,1,Belanja
Game top up Mobile Legends,254500,2024-09-16,9,0,0,Hiburan
Jajan pasar,49000,2024-02-05,2,0,0,Makanan & Minuman
Grab ke kantor,76000,2024-12-06,12,4,0,Transportasi
Grab ke kantor,25500,2024-02-03,2,5,1,Transportasi
Beli baju Uniqlo,217000,2024-09-17,9,1,0,Belanja
Klinik gigi,29000,2024-01-03,1,2,0,Kesehatan
Jajan pasar,36000,2024-11-27,11,2,0,Makanan & Minuman
Beli sepatu,632500,2024-02-29,2,3,0,Belanja
Beli buku programming,239500,2024-08-30,8,4,0,Pendidikan
Spotify premium,62500,2024-06-07,6,4,0,Hiburan
Bensin motor,190500,2024-10-02,10,2,0,Transportasi
Vitamin C Redoxon,287000,2024-02-02,2,4,0,Kesehatan
Tol Jakarta Bekasi,41500,2024-05-08,5,2,0,Transportasi
Beli alat tulis,48500,2024-02-11,2,6,1,Pendidikan
Konsultasi dokter umum,96500,2024-09-21,9,5,1,Kesehatan
Beli hand sanitizer,174000,2024-02-16,2,4,0,Kesehatan
Bensin motor,95000,2024-11-10,11,6,1,Transportasi
Bayar kos bulanan,996000,2024-09-27,9,4,0,Tagihan
Klinik gigi,283000,2024-04-07,4,6,1,Kesehatan
Netflix bulanan,203500,2024-09-09,9,0,0,Hiburan
Tokopedia elektronik,88500,2024-06-15,6,5,1,Belanja
Netflix bulanan,239000,2024-01-20,1,5,1,Hiburan
Beli baju Uniqlo,225500,2024-06-26,6,2,0,Belanja
Cicilan HP,769500,2024-12-07,12,5,1,Tagihan
Beli baju Uniqlo,356000,2024-07-28,7,6,1,Belanja
Beli charger HP,647500,2024-09-25,9,2,0,Belanja
Tiket kereta Bandung,69000,2024-05-11,5,5,1,Transportasi
Tiket konser,174500,2024-01-24,1,2,0,Hiburan
